Authors,Author full names,Author(s) ID,Title,Planet,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Country of Origin,Institution,Affiliations,Authors with affiliations,Funding Texts,Funding Source,Publisher,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Green Michael J.; Moss James N.; Wilson John F.,"Green, Michael J. (7406238459); Moss, James N. (7401486853); Wilson, John F. (56164779200)",7406238459; 7401486853; 56164779200,AEROTHERMODYNAMIC ENVIRONMENT AND THERMAL PROTECTION FOR A TITAN AEROCAPTURE VEHICLE.,Titan,1984,AIAA Paper,,,,,,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021310147&partnerID=40&md5=823867ffdada18c5e499ed0c97e6ca19,United States,NASA Ames Research Center,,,,NA,AIAA,English,Conference paper,Final,,Scopus,2-s2.0-0021310147
Hoffman Stephen J.,"Hoffman, Stephen J. (7202544037)",7202544037,COMPARISON OF AEROBRAKING AND AEROCAPTURE VEHICLES FOR INTERPLANETARY MISSIONS.,Generic,1984,AIAA Paper,,,,,,25,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021600218&partnerID=40&md5=9a3f6ad2d07002c420bb808716feacde,United States,Science Applications Inc.,"Science Applications Inc,, Schaumburg, IL, USA, Science Applications Inc, Schaumburg, IL, USA","Hoffman Stephen J., Science Applications Inc,, Schaumburg, IL, USA, Science Applications Inc, Schaumburg, IL, USA",,NASA,AIAA,English,Conference paper,Final,,Scopus,2-s2.0-0021600218
Vinh Nguyen X.; Johannesen Jennie R.; Longuski James M.; Hanson John M.,"Vinh, Nguyen X. (7006500524); Johannesen, Jennie R. (57197646769); Longuski, James M. (7005214433); Hanson, John M. (7402747873)",7006500524; 57197646769; 7005214433; 7402747873,SECOND-ORDER ANALYTIC SOLUTIONS FOR AEROCAPTURE AND BALLISTIC FLY-THROUGH TRAJECTORIES.,Generic,1984,Journal of the Astronautical Sciences,32,4,,429,445,16,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021501432&partnerID=40&md5=0ac5dd8e25cee94efff1bca11ba732bc,United States,Univ. of Michigan,"Univ of Michigan, Dep of Aerospace, Engineering, Ann Arbor, MI, USA, Univ of Michigan, Dep of Aerospace Engineering, Ann Arbor, MI, USA","Vinh Nguyen X., Univ of Michigan, Dep of Aerospace, Engineering, Ann Arbor, MI, USA, Univ of Michigan, Dep of Aerospace Engineering, Ann Arbor, MI, USA; Johannesen Jennie R., Univ of Michigan, Dep of Aerospace, Engineering, Ann Arbor, MI, USA, Univ of Michigan, Dep of Aerospace Engineering, Ann Arbor, MI, USA; Longuski James M., Univ of Michigan, Dep of Aerospace, Engineering, Ann Arbor, MI, USA, Univ of Michigan, Dep of Aerospace Engineering, Ann Arbor, MI, USA; Hanson John M., Univ of Michigan, Dep of Aerospace, Engineering, Ann Arbor, MI, USA, Univ of Michigan, Dep of Aerospace Engineering, Ann Arbor, MI, USA",,NA,,English,Article,Final,,Scopus,2-s2.0-0021501432
Walberg G.D.,"Walberg, Gerald D. (6602466046)",6602466046,A survey of aeroassisted orbit transfer,Generic,1985,Journal of Spacecraft and Rockets,22,1,,3,18,15,210,10.2514/3.25704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021885583&doi=10.2514%2f3.25704&partnerID=40&md5=8480160e15ac0f7a684ea574fbaa42c3,United States,NASA Langley Research Center,"NASA Langley Research Center, Hampton, VA, United States","Walberg G.D., NASA Langley Research Center, Hampton, VA, United States",,NASA,,English,Article,Final,,Scopus,2-s2.0-0021885583
Florence D.E.,"Florence, Dwight E. (7003357712)",7003357712,Aerothermodynamic design feasibility of a mars aerocapture vehicle,Generic,1985,Journal of Spacecraft and Rockets,22,1,,74,79,5,2,10.2514/3.25712,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021783760&doi=10.2514%2f3.25712&partnerID=40&md5=c28948e3d1c4e0753b0c783e0d6a4136,United States,General Electric Co.,"General Electric Company, Philadelphia, PA, United States","Florence D.E., General Electric Company, Philadelphia, PA, United States","This work was performed for the Jet Propulsion Laboratory of the California Institute of Technology, sponsored by the National Aeronautics and Space Administration under JPL Contract NAS 7-100.",NASA,,English,Article,Final,,Scopus,2-s2.0-0021783760
Meinel Carolyn P.; Parks Kelly,"Meinel, Carolyn P. (7007051830); Parks, Kelly (7003783205)",7007051830; 7003783205,STRATEGIES TO MINIMIZE DELTA V COSTS OF EXTRATERRESTRIAL RESOURCES.,Mars,1985,EASCON Record: IEEE Electronics and Aerospace Systems Convention,,,,111,127,16,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022325629&partnerID=40&md5=7c4c4a3003b881d8506c1cbe220e11fa,United States,Analytic Decisions Inc.,"Analytic Decisions Inc, Arlington,, VA, USA, Analytic Decisions Inc, Arlington, VA, USA","Meinel Carolyn P., Analytic Decisions Inc, Arlington,, VA, USA, Analytic Decisions Inc, Arlington, VA, USA; Parks Kelly, Analytic Decisions Inc, Arlington,, VA, USA, Analytic Decisions Inc, Arlington, VA, USA",,NA,IEEE,English,Conference paper,Final,,Scopus,2-s2.0-0022325629
Menees G.P.,"Menees, Gene P. (6701844617)",6701844617,Trajectory analysis of radiative heating for planetary missions with aerobraking of spacecraft,Generic,1985,Journal of Spacecraft and Rockets,22,1,,37,45,8,12,10.2514/3.25707,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021784541&doi=10.2514%2f3.25707&partnerID=40&md5=6714a12a46ee88872778d9aaf6143206,United States,NASA Ames Research Center,"NASA Ames Research Center, MoffettField, CA, United States","Menees G.P., NASA Ames Research Center, MoffettField, CA, United States",,NASA,,English,Article,Final,,Scopus,2-s2.0-0021784541
French J.R.; Norton H.N.; Klein G.A.,"French, J.R. (7403330980); Norton, H.N. (7005149069); Klein, G.A. (7403533786)",7403330980; 7005149069; 7403533786,MARS SAMPLE-RETURN OPTIONS.,Titan,1985,Aerospace America,23,11,,50,53,3,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022147649&partnerID=40&md5=d84131a830b1d2cf9ab283693baf6d68,United States,NASA Jet Propulsion Laboratory,"JPL, USA, JPL, USA","French J.R., JPL, USA, JPL, USA; Norton H.N., JPL, USA, JPL, USA; Klein G.A., JPL, USA, JPL, USA",,NA,,English,Article,Final,,Scopus,2-s2.0-0022147649
Serrano-Martínez J.B.; Hechler M.,"Serrano-Martínez, J.B. (57192116929); Hechler, M. (6603365978)",57192116929; 6603365978,Aerocapture guidance and navigation for the rosetta comet nucleus sample return mission,Mars,1989,"16th Atmospheric Flight Mechanics Conference, 1989",,,A89-49082,293,303,10,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997848586&partnerID=40&md5=a29df6144f8942c0a855fc05618c07ea,Spain,GMV,"GMV, Madrid, Spain; ESA/ESOC, Darmstadt, WG, Germany","Serrano-Martínez J.B., GMV, Madrid, Spain; Hechler M., ESA/ESOC, Darmstadt, WG, Germany",,NA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-84997848586
Puig-Suari J.; Longuski J.M.,"Puig-Suari, Jordi (6701783290); Longuski, James M. (7005214433)",6701783290; 7005214433,Modeling and analysis of orbiting tethers in an atmosphere,Earth,1990,"Astrodynamics Conference, 1990",,,AIAA-90-2897-CP,185,193,8,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007178844&partnerID=40&md5=8eaf5074dc1887b9c1d93bead53d39b5,United States,Purdue Univ.,"Purdue University, School of Aeronautics and Astronautics, West Lafayette, IN, United States","Puig-Suari J., Purdue University, School of Aeronautics and Astronautics, West Lafayette, IN, United States; Longuski J.M., Purdue University, School of Aeronautics and Astronautics, West Lafayette, IN, United States",,NA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-85007178844
Rochelle W.C.; Bouslog S.A.; Ting P.C.; Curry D.M.,"Rochelle, W.C. (6603549596); Bouslog, S.A. (6602867663); Ting, P.C. (36958682200); Curry, D.M. (7103340735)",6603549596; 6602867663; 36958682200; 7103340735,"Aerothermodynamic environments for mars entry, mars return and lunar return aerobraking missions",Mars,1990,"AIAA/ASME 5th Joint Thermophysics and Heat Transfer Conference, 1990",,,AIAA 90-1701,,,,5,10.2514/6.1990-1701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006944260&doi=10.2514%2f6.1990-1701&partnerID=40&md5=0606b2587cc4e9e551db34e70d63796b,United States,Lockheed Engineering & Sciences Co,"Lockheed Engineering & Sciences Co, Houston, 77058, TX, United States; NASA/Johnson Space Center, Houston, 77058, TX, United States","Rochelle W.C., Lockheed Engineering & Sciences Co, Houston, 77058, TX, United States; Bouslog S.A., Lockheed Engineering & Sciences Co, Houston, 77058, TX, United States; Ting P.C., Lockheed Engineering & Sciences Co, Houston, 77058, TX, United States; Curry D.M., NASA/Johnson Space Center, Houston, 77058, TX, United States",,NA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-85006944260
Braun R.D.; Powell R.W.,"Braun, Robert D. (7402220888); Powell, Richard W. (7402348304)",7402220888; 7402348304,Aerodynamic requirements of a manned mars aerobraking transfer vehicle,Mars,1990,"AIAA/SAE/ASME/ASEE 17th Atmospheric Flight Mechanics Conference, 1990",,,AIAA-90-2817-CP,117,125,8,2,10.2514/6.1990-2817,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997284048&doi=10.2514%2f6.1990-2817&partnerID=40&md5=e3d0725f6405ccafe10d104dd78725c1,United States,NASA Langley Research Center,"NASA Langley Research Center, United States","Braun R.D., NASA Langley Research Center, United States; Powell R.W., NASA Langley Research Center, United States",,NA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-84997284048
Ess R.H.,"Ess, Robert H. (35781456900)",35781456900,Atmospheric effects on martian aerocapture,Mars,1990,"AIAA/SAE/ASME/ASEE 17th Atmospheric Flight Mechanics Conference, 1990",,,AIAA-90-2818-CP,126,132,6,1,10.2514/6.1990-2818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997354414&doi=10.2514%2f6.1990-2818&partnerID=40&md5=7d92a2a66e15343b7aba28155fca4d0c,United States,NASA Johnson Space Center,"NASA Lyndon B. Johnson Space Center, Houston, TX, United States","Ess R.H., NASA Lyndon B. Johnson Space Center, Houston, TX, United States",,NASA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-84997354414
Konopliv A.; Wood L.J.,"Konopliv, Alex (6701420734); Wood, Lincoln J. (7202513596)",6701420734; 7202513596,High-accuracy mars approach navigation with radio metric and optical data,Mars,1990,"Astrodynamics Conference, 1990",,,AIAA-90-2907,,,,0,10.2514/6.1990-2907,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072812732&doi=10.2514%2f6.1990-2907&partnerID=40&md5=605658553bf89a0b822fbee5bfc443cf,United States,NASA Jet Propulsion Laboratory,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States","Konopliv A., Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States; Wood L.J., Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States","The research described in this paper was carried out by the Jet Propulsion Laboratory, California Institute of Technology, under contract with the National Aeronautics and Space Administration. Special thanks are due to Allan Klumpp for his suggestions regarding this work. Thanks are also due to Chad Edwards and Jim Border for their suggestions regarding the last method investigated in this paper.",NASA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-85072812732
McEneaney W.M.,"McEneaney, W.M. (7004636257)",7004636257,Optimal aeroassisted guidance using loh’s term approximations,Mars,1991,"Journal of Guidance, Control, and Dynamics",14,2,,368,376,8,5,10.2514/3.20648,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026117990&doi=10.2514%2f3.20648&partnerID=40&md5=ff15b3d009e94f040500800fd68845d9,United States,NASA Jet Propulsion Laboratory,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, 91109, United States; Division of Applied Mathematics, Brown University, Providence, RI, United States","McEneaney W.M., Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, 91109, United States, Division of Applied Mathematics, Brown University, Providence, RI, United States",,NASA,,English,Article,Final,,Scopus,2-s2.0-0026117990
Shepperd Stanley W.; Fuhry Douglas P.; Brand Timothy J.,"Shepperd, Stanley W. (7004208850); Fuhry, Douglas P. (6507158784); Brand, Timothy J. (7004694934)",7004208850; 6507158784; 7004694934,Onboard preaerocapture navigation performance at Mars,Mars,1991,Advances in the Astronautical Sciences,75,pt 1,,249,268,19,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025902797&partnerID=40&md5=edbc22f41fb1ca6d89c759dabd013a84,United States,Charles Stark Draper Lab,"Charles Stark Draper Lab Inc, Cambridge, United States","Shepperd Stanley W., Charles Stark Draper Lab Inc, Cambridge, United States; Fuhry Douglas P., Charles Stark Draper Lab Inc, Cambridge, United States; Brand Timothy J., Charles Stark Draper Lab Inc, Cambridge, United States",,Charles Stark Draper Lab,,English,Article,Final,,Scopus,2-s2.0-0025902797
Braun R.D.; Powell R.W.,"Braun, Robert D. (7402220888); Powell, Richard W. (7402348304)",7402220888; 7402348304,Aerodynamic requirements of a manned mars aerobraking transfer vehicle,Mars,1991,Journal of Spacecraft and Rockets,28,4,,361,367,6,10,10.2514/3.26255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026187024&doi=10.2514%2f3.26255&partnerID=40&md5=44f3f7e6095bd5eca577cb44ca17ad76,United States,NASA Langley Research Center,"NASA Langley Research Center, Space Systems Division, MS 365, Hampton, VA, 23665, United States","Braun R.D., NASA Langley Research Center, Space Systems Division, MS 365, Hampton, VA, 23665, United States; Powell R.W., NASA Langley Research Center, Space Systems Division, MS 365, Hampton, VA, 23665, United States",,NASA,,English,Article,Final,,Scopus,2-s2.0-0026187024
Lyne James Evans,"Lyne, James Evans (7004648122)",7004648122,Effect of parking orbit selection on manned aerocapture at Mars,Mars,1992,Advances in the Astronautical Sciences,79,pt 2,,697,708,11,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027060597&partnerID=40&md5=492e6208c2eed75e0ef0b5921a2fa640,United States,North Carolina State Univ.,"North Carolina State Univ, United States","Lyne James Evans, North Carolina State Univ, United States",,NASA,Publ by Univelt Inc,English,Conference paper,Final,,Scopus,2-s2.0-0027060597
Braun R.D.; Powell R.W.; Lyne J.E.,"Braun, Robert D. (7402220888); Powell, Richard W. (7402348304); Lyne, J. Evans (7004648122)",7402220888; 7402348304; 7004648122,Earth aerobraking strategies for manned return from mars,Mars,1992,Journal of Spacecraft and Rockets,29,3,,297,304,7,26,10.2514/3.26351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026867152&doi=10.2514%2f3.26351&partnerID=40&md5=5fd876763f6ebba8ee403553bf4218db,United States,NASA Langley Research Center,"NASA Langley Research Center, Vehicle Systems Branch, Space Systems Division, Hampton, VA, 23665, United States; Eloret Institute, Palo Alto, CA, 94303, United States","Braun R.D., NASA Langley Research Center, Vehicle Systems Branch, Space Systems Division, Hampton, VA, 23665, United States; Powell R.W., NASA Langley Research Center, Vehicle Systems Branch, Space Systems Division, Hampton, VA, 23665, United States; Lyne J.E., Eloret Institute, Palo Alto, CA, 94303, United States",,NASA,,English,Article,Final,,Scopus,2-s2.0-0026867152
Puig-Suari J.; Longuski J.M.,"Puig-Suari, J. (6701783290); Longuski, J.M. (7005214433)",6701783290; 7005214433,Analysis of aerocapture with tethers,Generic,1992,Advances in the Astronautical Sciences,76,pt 3,,2487,2501,14,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026627565&partnerID=40&md5=a64de9f042a1b08310f45fcba9e29971,United States,Purdue Univ.,"Purdue Univ, West Lafayette, United States","Puig-Suari J., Purdue Univ, West Lafayette, United States; Longuski J.M., Purdue Univ, West Lafayette, United States",,NASA,Publ by Univelt Inc,English,Conference paper,Final,,Scopus,2-s2.0-0026627565
Lyne J.E.; Tauber M.E.; Braun R.D.,"Lyne, J. Evans (7004648122); Tauber, M.E. (7101899979); Braun, Robert D. (7402220888)",7004648122; 7101899979; 7402220888,Parametric study of manned aerocapture part I: Earth return from mars,Earth,1992,Journal of Spacecraft and Rockets,29,6,,808,813,5,12,10.2514/3.25535,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026943757&doi=10.2514%2f3.25535&partnerID=40&md5=9f086903dcadd89779d7fc51479d44cb,United States,Eloret Institute,"Eloret Institute, Palo Alto, CA, 94303, United States; NASA Ames Research Center, CA, 94035, Moffett Field, United States; NASA Langley Research Center, Hampton, VA, 23665, United States; Thermosciences Division, NASA Ames Research Center, United States; Thermosciences Division, United States; Space Systems Division, United States","Lyne J.E., Eloret Institute, Palo Alto, CA, 94303, United States, Thermosciences Division, NASA Ames Research Center, United States; Tauber M.E., NASA Ames Research Center, CA, 94035, Moffett Field, United States, Thermosciences Division, United States; Braun R.D., NASA Langley Research Center, Hampton, VA, 23665, United States, Space Systems Division, United States",This research is supported by NASA Grant NAGW-1331 to,NASA,,English,Article,Final,,Scopus,2-s2.0-0026943757
Bell James; Bergmann Edward; Hollister Walter; Sackett Lester,"Bell, James (57198403004); Bergmann, Edward (35886371400); Hollister, Walter (7003878103); Sackett, Lester (6602086836)",57198403004; 35886371400; 7003878103; 6602086836,Aerocapture attitude control system incorporating robustness and vehicle parameter identification,Generic,1992,Advances in the Astronautical Sciences,76,pt 1,,860,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026626744&partnerID=40&md5=66ebea0e12b3bfc20cfb39bce4d6ffbe,United States,Wright-Patterson AFB,"Wright-Patterson AFB, Dayton, United States","Bell James, Wright-Patterson AFB, Dayton, United States; Bergmann Edward, Wright-Patterson AFB, Dayton, United States; Hollister Walter, Wright-Patterson AFB, Dayton, United States; Sackett Lester, Wright-Patterson AFB, Dayton, United States",,NA,Publ by Univelt Inc,English,Conference paper,Final,,Scopus,2-s2.0-0026626744
Lyne J.E.; Anagnos A.; Tauber M.E.,"Lyne, J.E. (7004648122); Anagnos, A. (57192275572); Tauber, M.E. (7101899979)",7004648122; 57192275572; 7101899979,Parametric study of manned aerocapture part II: Mars entry,Mars,1992,Journal of Spacecraft and Rockets,29,6,,814,819,5,10,10.2514/3.25536,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026943763&doi=10.2514%2f3.25536&partnerID=40&md5=4d0b42267810d1b3d2f0b7f621f9303d,United States,Eloret Institute,"Eloret Institute, Palo Alto, CA, 94303, United States; Stanford University, Stanford, CA, 94305, United States; NASA Ames Research Center, CA, 94035, Moffett Field, United States; Thermosciences Division, NASA Ames Research Center, United States; Department of Aeronautics and Astronautics, United States; Thermosciences Division, Mail Stop 229-3, United States","Lyne J.E., Eloret Institute, Palo Alto, CA, 94303, United States, Thermosciences Division, NASA Ames Research Center, United States; Anagnos A., Stanford University, Stanford, CA, 94305, United States, Department of Aeronautics and Astronautics, United States; Tauber M.E., NASA Ames Research Center, CA, 94035, Moffett Field, United States, Thermosciences Division, Mail Stop 229-3, United States",This research is supported by NASA Grant NAGW-1331 to the Mars Mission Research Center.,NASA,,English,Article,Final,,Scopus,2-s2.0-0026943763
